游戏,饰品,价格,时间,状态
csgo,"=HYPERLINK(""https://buff.163.com/goods/40673?appid=730&game=csgo&classid=2578025265&instanceid=188530139&assetid=30376933787&contextid=2"", ""印花 | 貔貅（闪亮）"")",¥ 33.99,2023-05-17 15:26:26,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40673?appid=730&game=csgo&classid=2578025265&instanceid=0&assetid=30376934534&contextid=2"", ""印花 | 貔貅（闪亮）"")",¥ 33.99,2023-05-17 15:26:05,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40673?appid=730&game=csgo&classid=5335534606&instanceid=188530139&assetid=30376935063&contextid=2"", ""印花 | 貔貅（闪亮）"")",¥ 33.99,2023-05-17 15:25:57,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40673?appid=730&game=csgo&classid=5335534606&instanceid=188530139&assetid=30376916262&contextid=2"", ""印花 | 貔貅（闪亮）"")",¥ 33.99,2023-05-17 15:25:34,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40673?appid=730&game=csgo&classid=2578025265&instanceid=188530139&assetid=30376917106&contextid=2"", ""印花 | 貔貅（闪亮）"")",¥ 33.99,2023-05-17 15:25:31,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40673?appid=730&game=csgo&classid=5335534606&instanceid=0&assetid=30376918005&contextid=2"", ""印花 | 貔貅（闪亮）"")",¥ 33.99,2023-05-17 15:25:13,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40672?appid=730&game=csgo&classid=2577961944&instanceid=0&assetid=30376889174&contextid=2"", ""印花 | 貔貅"")",¥ 1.56,2023-05-17 15:22:33,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40672?appid=730&game=csgo&classid=2577961944&instanceid=188530139&assetid=30376889956&contextid=2"", ""印花 | 貔貅"")",¥ 1.56,2023-05-17 15:22:28,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40672?appid=730&game=csgo&classid=2577961944&instanceid=188530139&assetid=30376887821&contextid=2"", ""印花 | 貔貅"")",¥ 1.56,2023-05-17 15:22:06,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40672?appid=730&game=csgo&classid=2577961944&instanceid=0&assetid=30376890957&contextid=2"", ""印花 | 貔貅"")",¥ 1.56,2023-05-17 15:21:52,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30350676414&contextid=2"", ""印花 | 敬礼！"")",¥ 0.73,2023-05-15 23:28:57,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30350676452&contextid=2"", ""印花 | 敬礼！"")",¥ 0.73,2023-05-15 23:28:57,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30350676443&contextid=2"", ""印花 | 敬礼！"")",¥ 0.73,2023-05-15 23:28:57,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30350676426&contextid=2"", ""印花 | 敬礼！"")",¥ 0.73,2023-05-15 23:28:57,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30350676470&contextid=2"", ""印花 | 敬礼！"")",¥ 0.73,2023-05-15 23:28:57,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30350676500&contextid=2"", ""印花 | 敬礼！"")",¥ 0.73,2023-05-15 23:28:56,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30350676520&contextid=2"", ""印花 | 敬礼！"")",¥ 0.73,2023-05-15 23:28:56,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30350676558&contextid=2"", ""印花 | 敬礼！"")",¥ 0.73,2023-05-15 23:28:56,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30350676514&contextid=2"", ""印花 | 敬礼！"")",¥ 0.73,2023-05-15 23:28:56,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30350676533&contextid=2"", ""印花 | 敬礼！"")",¥ 0.73,2023-05-15 23:28:56,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=958012868&instanceid=188530139&assetid=30350676545&contextid=2"", ""印花 | 敬礼！"")",¥ 0.73,2023-05-15 23:28:55,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/40745?appid=730&game=csgo&classid=5331173036&instanceid=188530139&assetid=30342475774&contextid=2"", ""印花 | 敬礼！"")",¥ 0.73,2023-05-15 13:18:20,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/42853?appid=730&game=csgo&classid=5261884057&instanceid=188530139&assetid=29403771845&contextid=2"", ""穿肠刀（★） | 枯焦之色 (久经沙场)"")",¥ 549,2023-03-30 22:04:46,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/45409?appid=730&game=csgo&classid=2735942874&instanceid=188530139&assetid=29400577581&contextid=2"", ""九头蛇手套（★） | 红树林 (久经沙场)"")",¥ 335,2023-03-30 18:42:27,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/43188?appid=730&game=csgo&classid=4623248751&instanceid=188530139&assetid=29234959735&contextid=2"", ""暗影双匕（★） | 渐变之色 (崭新出厂)"")",¥ 2000,2023-03-23 08:16:31,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/779486?appid=730&game=csgo&classid=3790926076&instanceid=188548322&assetid=29151312469&contextid=2"", ""音乐盒（StatTrak™） | Dren - 枪炮卷饼卡车"")",¥ 138,2023-03-18 13:21:26,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/886606?appid=730&game=csgo&classid=4717330486&instanceid=0&assetid=29132671669&contextid=2"", ""梦魇武器箱"")",¥ 4.96,2023-03-17 11:00:33,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/900464?appid=730&game=csgo&classid=4901046679&instanceid=0&assetid=29071597232&contextid=2"", ""反冲武器箱"")",¥ 4.58,2023-03-13 13:17:44,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/921379?appid=730&game=csgo&classid=5189384637&instanceid=0&assetid=28697708294&contextid=2"", ""变革武器箱"")",¥ 34,2023-02-16 23:55:48,交易成功
