游戏,饰品,价格,时间,状态
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29898887804&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.38,2023-04-25 14:50:09,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36698?appid=730&game=csgo&classid=1989313952&instanceid=302028390&assetid=29897673599&contextid=2"", ""封装的涂鸦 | 八号球 (砖红)"")",¥ 0.33,2023-04-25 14:49:37,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36698?appid=730&game=csgo&classid=1989313952&instanceid=302028390&assetid=29897673616&contextid=2"", ""封装的涂鸦 | 八号球 (砖红)"")",¥ 0.33,2023-04-25 14:49:37,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36699?appid=730&game=csgo&classid=1989275536&instanceid=302028390&assetid=29897657995&contextid=2"", ""封装的涂鸦 | 八号球 (豆青)"")",¥ 0.27,2023-04-25 14:49:11,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36706?appid=730&game=csgo&classid=1989287629&instanceid=302028390&assetid=29897651293&contextid=2"", ""封装的涂鸦 | 八号球 (酱紫)"")",¥ 0.39,2023-04-25 14:48:51,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36706?appid=730&game=csgo&classid=1989287629&instanceid=302028390&assetid=29897651550&contextid=2"", ""封装的涂鸦 | 八号球 (酱紫)"")",¥ 0.39,2023-04-25 14:48:50,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36706?appid=730&game=csgo&classid=1989287629&instanceid=302028390&assetid=29897651334&contextid=2"", ""封装的涂鸦 | 八号球 (酱紫)"")",¥ 0.39,2023-04-25 14:48:50,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36706?appid=730&game=csgo&classid=1989287629&instanceid=302028390&assetid=29897651581&contextid=2"", ""封装的涂鸦 | 八号球 (酱紫)"")",¥ 0.39,2023-04-25 14:48:50,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36706?appid=730&game=csgo&classid=1989287629&instanceid=302028390&assetid=29897651316&contextid=2"", ""封装的涂鸦 | 八号球 (酱紫)"")",¥ 0.39,2023-04-25 14:48:50,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36706?appid=730&game=csgo&classid=1989287629&instanceid=302028390&assetid=29897651235&contextid=2"", ""封装的涂鸦 | 八号球 (酱紫)"")",¥ 0.39,2023-04-25 14:48:50,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36706?appid=730&game=csgo&classid=1989287629&instanceid=302028390&assetid=29900440973&contextid=2"", ""封装的涂鸦 | 八号球 (酱紫)"")",¥ 0.36,2023-04-25 14:48:50,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36712?appid=730&game=csgo&classid=1989273176&instanceid=302028390&assetid=29897610897&contextid=2"", ""封装的涂鸦 | 八号球 (藕色)"")",¥ 0.33,2023-04-25 14:47:56,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36711?appid=730&game=csgo&classid=1989281985&instanceid=302028390&assetid=29897720472&contextid=2"", ""封装的涂鸦 | 八号球 (纯紫)"")",¥ 0.33,2023-04-25 14:47:32,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36709?appid=730&game=csgo&classid=1989312329&instanceid=302028390&assetid=29898412521&contextid=2"", ""封装的涂鸦 | 八号球 (黄褐)"")",¥ 0.27,2023-04-25 14:47:03,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36702?appid=730&game=csgo&classid=1989285837&instanceid=302028390&assetid=29897897781&contextid=2"", ""封装的涂鸦 | 八号球 (暗绿)"")",¥ 0.27,2023-04-25 14:46:45,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=1989293262&instanceid=302028390&assetid=29897583571&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.2,2023-04-25 14:45:53,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36700?appid=730&game=csgo&classid=1989293262&instanceid=302028390&assetid=29897564937&contextid=2"", ""封装的涂鸦 | 八号球 (棕褐)"")",¥ 0.2,2023-04-25 14:44:05,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36706?appid=730&game=csgo&classid=1989287629&instanceid=302028390&assetid=29897469638&contextid=2"", ""封装的涂鸦 | 八号球 (酱紫)"")",¥ 0.33,2023-04-25 14:43:42,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29897471590&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.29,2023-04-25 14:43:11,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29897710325&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.3,2023-04-25 14:42:48,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29897710266&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.3,2023-04-25 14:42:48,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29897710364&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.3,2023-04-25 14:42:48,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29897710333&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.3,2023-04-25 14:42:48,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29897710371&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.3,2023-04-25 14:42:48,交易成功
csgo,"=HYPERLINK(""https://buff.163.com/goods/36697?appid=730&game=csgo&classid=1989280635&instanceid=302028390&assetid=29897710420&contextid=2"", ""封装的涂鸦 | 八号球 (血红)"")",¥ 0.3,2023-04-25 14:42:48,交易成功
